№,Учреждение,Регион,Адрес,год,Размер иного межбюджетного трансферта руб
1,Myниципальное казенное учреждение культуры «Межпоселенческая централизованная библиотечная система» МО «Кошехабльский район» Детская библиотека,Республика Адыгея (Адыгея),"Республика Адыгея,  Кошехабльский район, аул Кошехабль, ул.  Советская, дом 55  ",2019,5000000
2,Библиотека-филиал №1 МБУК «Централизованная библиотечная система» МО «Город Майкоп»,Республика Адыгея (Адыгея),"Республика Адыгея, г. Майкоп, ул.  Курганная, 70А  ",2019,5000000
3,Дондуковская сельская библиотека филиал №4 муниципального бюджетного учреждения культуры «Гиагинская межпоселенческая централизованная библиотечная система» муниципального образования «Гиагинский район»,Республика Адыгея (Адыгея),"Республика Адыгея  Гиагинский район  ст. Дондуковская  ул. Ленина, 145  ",2019,5000000
4,Усть-Коксинская общедоступная межпоселенческая библиотека,Республика Алтай,"Усть-Коксинский район, с. Усть-Кокса, ул. Советская, д. 60",2019,10000000
5,Муниципальное казенное учреждение культуры «Централизованная межпоселенческая библиотечная система» филиал библиотеки в с. Кош-Агач,Республика Алтай,"Pecnyблика Алтай, Кош-Агачский район, с.Кош-Агач, ул. Коммунальная, д. 32 А",2019,5000000
6,Центральная городская библиотека МАУК ЦБС г. Северобайкальск,Республика Бурятия,"Республика Бурятия, г. Северобайкальск, проспект Ленинградский, д.5",2019,10000000
7,Кижингинская межпоселенческая центральная библиотека МБУК «Кижингинская централизованная библиотечная система»,Республика Бурятия,"Республика Бурятия, Кижингинский район, село Кижинга, ул. Коммунистическая, д. 14",2019,10000000
8,Библиотека - филиал №5 МАУ ЦБС г. Улан-Удэ,Республика Бурятия,"Республика Бурятия, г. Улан-Удэ, ул. Туполева, д. 4",2019,5000000
9,Ново-Брянская детская библиотека – филиал муниципального автономного учреждения культуры «Централизованная библиотечная система Заиграевского района»,Республика Бурятия,"Республика Бурятия, Заиграевский район, село Новая Брянь, ул. Пирогова, д. 12 а",2019,5000000
10,Усть-Кяхтинский сельский филиал Муниципального бюджетного учреждения «Кяхтинская централизованная библиотечная сеть»,Республика Бурятия,"Республика Бурятия, Кяхтинский район, с. Усть-Кяхтя, ул. Советская, д. 36",2019,5000000
11,Янишпольская сельская библиотека муниципального учреждения «Кондопожская центральная районная библиотека им. Б.Е.Кравченко»,Республика Карелия,"Республика Карелия, Кондопожский район, с. Янишполе, ул. Центральная, 55",2019,5000000
12,Центральная городская библиотека г. Сыктывкара МБУК «Централизованная библиотечная система» ,Республика Коми,"Г. Сыктывкар, ул. Ленина, д.78, 167000  ",2019,10000000
13,Центральная библиотека имени М.Н.Лебедева МУ «Корткеросская Центральная библиотечная система»,Республика Коми,"Корткеросский район, с. Корткерос, ул. Советская, д.187, 168020",2019,10000000
14,Ижемская межпоселенческая детская библиотека МБУК «Ижемская межпоселенческая библиотечная система»,Республика Коми,"Ижемский район, с. Ижма, ул. Хатанзейского, д. 52, 169460",2019,5000000
15,Центральная детская библиотека имени Аркадия Петровича Гайдара Муниципального учреждения «Центральная библиотека» МОГО «Ухта»,Республика Коми,"г. Ухта, Комсомольская площадь, д.5, 169313",2019,5000000
16,Библиотека квартала Южный пгт.Троицко-Печорск Муниципального бюджетного учреждения культуры «Троицко-Печорская межпоселенческая центральная библиотека»,Республика Коми,"Троицко-Печорский  район, пгт. Троицко-Печорск, квартал  Южный, д.12, 169420  ",2019,5000000
17,Городская детская и юношеская библиотека – филиал №1 муниципального бюджетного учреждения «Сосногорская межпоселенческая централизованная библиотечная система»,Республика Коми,"г. Сосногорск, ул.  Горького, д.14, 169500  ",2019,5000000
18,Центральная городская детская библиотека г. Сыктывкара МБУК «Централизованная библиотечная система» ,Республика Коми,"г. Сыктывкар, ул. Коммунистическая, д.69, 167023 ",2019,5000000
19,Центральная детская библиотека Муниципальное бюджетное учреждение культуры «Усинская централизованная библиотечная система»,Республика Коми,"г. Усинск, ул. Возейская д.5, 169711",2019,5000000
20,Детская библиотека Муниципального учреждения культуры «Прилузская межпоселенческая централизованная библиотечная система»,Республика Коми,"Прилузский район, ул. Центральная д.10, 168130",2019,5000000
21,МБУК «Централизованная городская библиотечная система для взрослых» г. Саранск,Республика Мордовия,"430032, Республика Мордовия, г. Саранск,  улица Энгельса, дом 9а  ",2019,10000000
22,МБУ Центральная районная библиотека Тенегушевского муниципального района ,Республика Мордовия,"Республика Мордовия, Теньгушевский  район, с. Теньгушево, ул. Ленина, д.72  ",2019,10000000
23,"Детский отдел библиотечного обслуживания, структурное подразделение МБУК «Большеберезниковская ЦБС» ",Республика Мордовия,"431751, Республика Мордовия, Большеберезниковский район, с. Большие Березники, ул. Ленина, д. 72",2019,5000000
24,Структурное подразделение МБУК Атяшевская ЦРБ «Атяшевская районная библиотека»,Республика Мордовия,"431800, Республика Мордовия,   Атяшевский район,  р.п. Атяшево, ул. Ленина, 30а  ",2019,5000000
25,Библиотека №4 поселка Беркакит Муниципального бюджетного учреждения культуры Нерюнгринская централизованная библиотечная система,Республика Саха (Якутия),"Нерюнгринский район, п. Беркакит, ул. Башарина, д.6, 678990",2019,5000000
